"study","condition_id","n_clusters","beta","contamination","random_slope_sd","method_scope","model","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"Study 2","P4D_S2_06",10,0.1,"vertical",0.05,"all","ri",0.0326912506850497,-0.0673087493149503,0,0,0.0673087493149503,100,0,0.331097017303626,1,0,0,10,0.270000000000039
"Study 2","P4D_S2_06",10,0.1,"vertical",0.05,"all","cr2",0.110983033076475,0.0109830330764752,0,0,0.0109830330764752,100,0,0.447512863938352,1,0,NA,10,0.0399999999999636
"Study 2","P4D_S2_06",10,0.1,"vertical",0.05,"all","cats",0.056529555184136,-0.043470444815864,0,0,0.043470444815864,100,0,0.349228155410397,1,0,NA,10,0.0400000000000205
"Study 2","P4D_S2_06",10,0.1,"vertical",0.05,"all","cats_trunc",0.056529555184136,-0.043470444815864,0,0,0.043470444815864,100,0,0.349228155410397,1,0,NA,10,0.0300000000000296
"Study 2","P4D_S2_06",10,0.1,"vertical",0.05,"all","cats_robust",0.177112958348563,0.0771129583485634,100,0,0.0771129583485634,100,0,0.310879515374501,1,0,NA,10,0.0699999999999932
"Study 2","P4D_S2_06",10,0.1,"vertical",0.05,"all","cats_robustbase",0.175775612895651,0.0757756128956514,100,0,0.0757756128956514,100,0,0.290043111655859,1,0,NA,10,0.139999999999986
"Study 2","P4D_S2_06",10,0.1,"vertical",0.05,"all","robust_ri",0.110069610577692,0.0100696105776919,100,0,0.0100696105776919,100,0,0.219202185400196,1,0,0,10,13.19
"Study 2","P4D_S2_06",10,0.1,"vertical",0.05,"all","robust_rs",0.12436887589643,0.02436887589643,0,0,0.02436887589643,100,0,0.353101723269363,1,0,0,10,40.05
"Study 2","P4D_S2_07",10,0,"vertical",0.1,"all","rs",-0.0519509103559805,-0.0519509103559805,0,0,0.0519509103559805,100,0,0.443238912851492,1,0,0,10,0.469999999999914
"Study 2","P4D_S2_07",10,0,"vertical",0.1,"all","ri",-0.062092006332801,-0.062092006332801,0,0,0.062092006332801,100,0,0.332619014726706,1,0,0,10,0.25
"Study 2","P4D_S2_07",10,0,"vertical",0.1,"all","cr2",0.0162428900988614,0.0162428900988614,0,0,0.0162428900988614,100,0,0.518967581387361,1,0,NA,10,0.0500000000000682
"Study 2","P4D_S2_07",10,0,"vertical",0.1,"all","cats",-0.0306932949130439,-0.0306932949130439,0,0,0.0306932949130439,100,0,0.410161843276258,1,0,NA,10,0.0299999999999727
"Study 2","P4D_S2_07",10,0,"vertical",0.1,"all","cats_trunc",-0.0306932949130439,-0.0306932949130439,0,0,0.0306932949130439,100,0,0.410161843276258,1,0,NA,10,0.0500000000000682
"Study 2","P4D_S2_07",10,0,"vertical",0.1,"all","cats_robust",0.0898901082513836,0.0898901082513836,0,0,0.0898901082513836,100,0,0.380934966016549,1,0,NA,10,0.0599999999999454
"Study 2","P4D_S2_07",10,0,"vertical",0.1,"all","cats_robustbase",0.0885527627984717,0.0885527627984717,0,0,0.0885527627984717,100,0,0.362191679152948,1,0,NA,10,0.129999999999995
"Study 2","P4D_S2_07",10,0,"vertical",0.1,"all","robust_ri",0.0202327636252917,0.0202327636252917,0,0,0.0202327636252917,100,0,0.222481120137518,1,0,0,10,13.3000000000001
"Study 2","P4D_S2_07",10,0,"vertical",0.1,"all","robust_rs",0.0457508076487726,0.0457508076487726,0,0,0.0457508076487726,100,0,0.423147676538788,1,0,0,10,36.62
"Study 2","P4D_S2_08",10,0.1,"vertical",0.1,"all","rs",0.0480490896453591,-0.0519509103546409,0,0,0.0519509103546409,100,0,0.443238912859568,1,0,0,10,0.529999999999973
"Study 2","P4D_S2_08",10,0.1,"vertical",0.1,"all","ri",0.0379079937016556,-0.0620920062983444,0,0,0.0620920062983444,100,0,0.332619014751574,1,0,0,10,0.25
"Study 2","P4D_S2_08",10,0.1,"vertical",0.1,"all","cr2",0.116242890098861,0.0162428900988614,0,0,0.0162428900988614,100,0,0.518967581387361,1,0,NA,10,0.0600000000000591
"Study 2","P4D_S2_08",10,0.1,"vertical",0.1,"all","cats",0.0693067050869562,-0.0306932949130438,0,0,0.0306932949130438,100,0,0.410161843276258,1,0,NA,10,0.0499999999999545
"Study 2","P4D_S2_08",10,0.1,"vertical",0.1,"all","cats_trunc",0.0693067050869562,-0.0306932949130438,0,0,0.0306932949130438,100,0,0.410161843276258,1,0,NA,10,0.0400000000000773
"Study 2","P4D_S2_08",10,0.1,"vertical",0.1,"all","cats_robust",0.189890108251384,0.0898901082513836,0,0,0.0898901082513836,100,0,0.380934966016549,1,0,NA,10,0.0799999999999272
"Study 2","P4D_S2_08",10,0.1,"vertical",0.1,"all","cats_robustbase",0.188552763643481,0.0885527636434807,100,0,0.0885527636434807,100,0,0.36219167965003,1,0,NA,10,0.150000000000091
"Study 2","P4D_S2_08",10,0.1,"vertical",0.1,"all","robust_ri",0.120232763625292,0.0202327636252917,100,0,0.0202327636252917,100,0,0.222481120137395,1,0,0,10,13.41
"Study 2","P4D_S2_08",10,0.1,"vertical",0.1,"all","robust_rs",0.145750807648773,0.0457508076487731,0,0,0.0457508076487731,100,0,0.423147676542866,1,0,0,10,34.14
"Study 2","P4D_S2_09",20,0.1,"none",0.1,"robust_only","robust_ri",0.163766946669058,0.0637669466690579,100,0,0.0637669466690579,100,0,0.141472093766545,1,0,0,20,26.2800000000001
"Study 2","P4D_S2_09",20,0.1,"none",0.1,"robust_only","robust_rs",0.163766946956213,0.0637669469562132,100,0,0.0637669469562132,100,0,0.141472100763183,1,0,100,20,46.41
"Study 2","P4D_S2_10",40,0.1,"none",0.1,"robust_only","robust_ri",0.1073868729713,0.00738687297129995,100,0,0.00738687297129995,100,0,0.103214889131067,1,0,0,40,60.21
"Study 2","P4D_S2_10",40,0.1,"none",0.1,"robust_only","robust_rs",0.105733788901928,0.0057337889019284,100,0,0.0057337889019284,100,0,0.13204309078198,1,0,0,40,212.57
