"check","passed","details"
"leave_one_subject_out__method_label",TRUE,
"leave_one_subject_out__omitted_cluster",TRUE,
"leave_one_subject_out__full_estimate",TRUE,
"leave_one_subject_out__leave_one_out_estimate",TRUE,
"leave_one_subject_out__estimate_change",TRUE,
"leave_one_subject_out__fit_success",TRUE,
"leave_one_subject_out__error",TRUE,
"leave_one_subject_out__dataset",TRUE,
"leave_one_subject_out__warning__allowed_warning_change",TRUE,
"loo_row_count_324",TRUE,"rows = 324"
"no_loo_phantom_cluster_warning",TRUE,
"observed_loo_status__row_count",TRUE,"old = 18 ; new = 18"
"observed_loo_status__column_set",TRUE,"old columns = 6 ; new columns = 6"
"observed_loo_status__dataset",TRUE,
"observed_loo_status__cluster_index",TRUE,
"observed_loo_status__omitted_cluster",TRUE,
"observed_loo_status__status",TRUE,
"observed_loo_status__error",TRUE,
"perturbed_loo_status__row_count",TRUE,"old = 18 ; new = 18"
"perturbed_loo_status__column_set",TRUE,"old columns = 6 ; new columns = 6"
"perturbed_loo_status__dataset",TRUE,
"perturbed_loo_status__cluster_index",TRUE,
"perturbed_loo_status__omitted_cluster",TRUE,
"perturbed_loo_status__status",TRUE,
"perturbed_loo_status__error",TRUE,
"corrected_checksum_record_exists",TRUE,
"corrected_outputs_match_their_checksums",TRUE,
