"contamination","dataset_id","engine","variant","baseline_success","observed_success","baseline_error","observed_error","baseline_warning","observed_warning","baseline_message","observed_message","df_difference","retained_cluster_difference","rejection_changed","ci_decision_changed","all_quantities_equivalent","max_absolute_difference"
"vertical",4,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,2.72694489211744e-09
"vertical",5,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",5,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,3.42138497533284e-07
"vertical",5,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",5,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,3.5524661323727e-08
"vertical",5,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"vertical",5,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,3.14139368962074e-08
"vertical",5,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,9.63539958931392e-09
"vertical",5,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,6.51702036780222e-09
"bad_leverage",1,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",1,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,4.4179629144353e-06
"bad_leverage",1,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",1,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,4.3068060330137e-06
"bad_leverage",1,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",1,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.36260780436714e-08
"bad_leverage",1,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,8.41494560255285e-07
"bad_leverage",1,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,8.43815020745708e-07
"bad_leverage",2,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",2,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.72661860455003e-06
"bad_leverage",2,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",2,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.34735134880992e-06
"bad_leverage",2,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",2,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,4.14766929135446e-10
"bad_leverage",2,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.30349847304867e-08
"bad_leverage",2,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,6.90547907744588e-09
"bad_leverage",3,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",3,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.19456403220586e-07
"bad_leverage",3,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",3,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.30987690083462e-06
"bad_leverage",3,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",3,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.55785667352304e-09
"bad_leverage",3,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.23883739724939e-09
"bad_leverage",3,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,3.24954551114698e-09
"bad_leverage",4,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",4,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.60952181915697e-07
"bad_leverage",4,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",4,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,8.66618465433788e-07
"bad_leverage",4,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",4,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.07355142553445e-08
"bad_leverage",4,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,2.51339160595165e-09
"bad_leverage",4,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,7.73180242052973e-09
"bad_leverage",5,"robust","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",5,"robust","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,2.82002040274953e-07
"bad_leverage",5,"robust","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",5,"robust","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,FALSE,8.18713158421969e-05
"bad_leverage",5,"robustbase","exact_repeat",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,0
"bad_leverage",5,"robustbase","within_cluster_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,5.17195589688768e-08
"bad_leverage",5,"robustbase","cluster_block_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,6.37954602200619e-08
"bad_leverage",5,"robustbase","global_row_order",TRUE,TRUE,,,,,,,0,0,FALSE,FALSE,TRUE,1.90588730908381e-09
