"contamination","dataset_id","engine","variant","quantity","reference_value","observed_value","absolute_difference","allowed_difference","numerically_equivalent"
"none",3,"robustbase","cluster_block_order","estimate",0.0129796265958497,0.0129796266378516,4.20018950175738e-11,1.01297962659585e-05,TRUE
"none",3,"robustbase","cluster_block_order","std_error",0.0413135999744737,0.0413135999613712,1.31025468252943e-11,1.04131359997447e-05,TRUE
"none",3,"robustbase","cluster_block_order","p_value",0.760549961766753,0.760549960946408,8.20344681073948e-10,1.76054996176675e-05,TRUE
"none",3,"robustbase","cluster_block_order","conf_low",-0.0804782295073858,-0.0804782294357439,7.16419146229441e-11,1.08047822950739e-05,TRUE
"none",3,"robustbase","cluster_block_order","conf_high",0.106437482699085,0.106437482711447,1.23618892899913e-11,1.10643748269909e-05,TRUE
"none",3,"robustbase","global_row_order","estimate",0.0129796265958497,0.0129796266824712,8.66215363326539e-11,1.01297962659585e-05,TRUE
"none",3,"robustbase","global_row_order","std_error",0.0413135999744737,0.0413135999662587,8.21508139292604e-12,1.04131359997447e-05,TRUE
"none",3,"robustbase","global_row_order","p_value",0.760549961766753,0.760549960180036,1.58671686900647e-09,1.76054996176675e-05,TRUE
"none",3,"robustbase","global_row_order","conf_low",-0.0804782295073858,-0.0804782294021805,1.05205344436143e-10,1.08047822950739e-05,TRUE
"none",3,"robustbase","global_row_order","conf_high",0.106437482699085,0.106437482767123,6.80377421069522e-11,1.10643748269909e-05,TRUE
"none",4,"robust","exact_repeat","estimate",-0.0215604771923656,-0.0215604771923656,0,1.02156047719237e-05,TRUE
"none",4,"robust","exact_repeat","std_error",0.0510324215668735,0.0510324215668735,0,1.05103242156687e-05,TRUE
"none",4,"robust","exact_repeat","p_value",0.68258483322099,0.68258483322099,0,1.68258483322099e-05,TRUE
"none",4,"robust","exact_repeat","conf_low",-0.137003835174806,-0.137003835174806,0,1.13700383517481e-05,TRUE
"none",4,"robust","exact_repeat","conf_high",0.093882880790075,0.093882880790075,0,1.09388288079008e-05,TRUE
"none",4,"robust","within_cluster_row_order","estimate",-0.0215604771923656,-0.0215605075500505,3.03576849283727e-08,1.02156047719237e-05,TRUE
"none",4,"robust","within_cluster_row_order","std_error",0.0510324215668735,0.0510324153742077,6.19266588008927e-09,1.05103242156687e-05,TRUE
"none",4,"robust","within_cluster_row_order","p_value",0.68258483322099,0.682584378671104,4.54549886508282e-07,1.68258483322099e-05,TRUE
"none",4,"robust","within_cluster_row_order","conf_low",-0.137003835174806,-0.137003851523708,1.63489014548546e-08,1.13700383517481e-05,TRUE
"none",4,"robust","within_cluster_row_order","conf_high",0.093882880790075,0.0938828364236066,4.43664684018907e-08,1.09388288079008e-05,TRUE
"none",4,"robust","cluster_block_order","estimate",-0.0215604771923656,-0.0215604771923656,0,1.02156047719237e-05,TRUE
"none",4,"robust","cluster_block_order","std_error",0.0510324215668735,0.0510324215668735,0,1.05103242156687e-05,TRUE
"none",4,"robust","cluster_block_order","p_value",0.68258483322099,0.68258483322099,0,1.68258483322099e-05,TRUE
"none",4,"robust","cluster_block_order","conf_low",-0.137003835174806,-0.137003835174806,0,1.13700383517481e-05,TRUE
"none",4,"robust","cluster_block_order","conf_high",0.093882880790075,0.093882880790075,0,1.09388288079008e-05,TRUE
"none",4,"robust","global_row_order","estimate",-0.0215604771923656,-0.0215605492151202,7.20227545658592e-08,1.02156047719237e-05,TRUE
"none",4,"robust","global_row_order","std_error",0.0510324215668735,0.051032360377565,6.11893085089577e-08,1.05103242156687e-05,TRUE
"none",4,"robust","global_row_order","p_value",0.68258483322099,0.682583484011864,1.34920912608916e-06,1.68258483322099e-05,TRUE
"none",4,"robust","global_row_order","conf_low",-0.137003835174806,-0.137003768777728,6.6397077946867e-08,1.13700383517481e-05,TRUE
"none",4,"robust","global_row_order","conf_high",0.093882880790075,0.0938826703474879,2.10442587106341e-07,1.09388288079008e-05,TRUE
"none",4,"robustbase","exact_repeat","estimate",-0.0310333040655261,-0.0310333040655261,0,1.03103330406553e-05,TRUE
"none",4,"robustbase","exact_repeat","std_error",0.0480160341458219,0.0480160341458219,0,1.04801603414582e-05,TRUE
"none",4,"robustbase","exact_repeat","p_value",0.534209681193269,0.534209681193269,0,1.53420968119327e-05,TRUE
"none",4,"robustbase","exact_repeat","conf_low",-0.13965311963766,-0.13965311963766,0,1.13965311963766e-05,TRUE
"none",4,"robustbase","exact_repeat","conf_high",0.0775865115066081,0.0775865115066081,0,1.07758651150661e-05,TRUE
"none",4,"robustbase","within_cluster_row_order","estimate",-0.0310333040655261,-0.0310333048862491,8.20722982630695e-10,1.03103330406553e-05,TRUE
"none",4,"robustbase","within_cluster_row_order","std_error",0.0480160341458219,0.0480160340925641,5.32578009471152e-11,1.04801603414582e-05,TRUE
"none",4,"robustbase","within_cluster_row_order","p_value",0.534209681193269,0.534209670176915,1.10163540512076e-08,1.53420968119327e-05,TRUE
"none",4,"robustbase","within_cluster_row_order","conf_low",-0.13965311963766,-0.139653120337906,7.00245500473429e-10,1.13965311963766e-05,TRUE
"none",4,"robustbase","within_cluster_row_order","conf_high",0.0775865115066081,0.0775865105654076,9.41200478665749e-10,1.07758651150661e-05,TRUE
"none",4,"robustbase","cluster_block_order","estimate",-0.0310333040655261,-0.0310333056657679,1.60024179324258e-09,1.03103330406553e-05,TRUE
"none",4,"robustbase","cluster_block_order","std_error",0.0480160341458219,0.0480160340247674,1.21054534452103e-10,1.04801603414582e-05,TRUE
"none",4,"robustbase","cluster_block_order","p_value",0.534209681193269,0.53420965957032,2.16229494309772e-08,1.53420968119327e-05,TRUE
"none",4,"robustbase","cluster_block_order","conf_low",-0.13965311963766,-0.139653120964058,1.32639743632978e-09,1.13965311963766e-05,TRUE
"none",4,"robustbase","cluster_block_order","conf_high",0.0775865115066081,0.0775865096325219,1.87408616403317e-09,1.07758651150661e-05,TRUE
"none",4,"robustbase","global_row_order","estimate",-0.0310333040655261,-0.0310333056560119,1.59048578821097e-09,1.03103330406553e-05,TRUE
"none",4,"robustbase","global_row_order","std_error",0.0480160341458219,0.0480160340310872,1.14734700906727e-10,1.04801603414582e-05,TRUE
"none",4,"robustbase","global_row_order","p_value",0.534209681193269,0.53420965974862,2.14446487234454e-08,1.53420968119327e-05,TRUE
"none",4,"robustbase","global_row_order","conf_low",-0.13965311963766,-0.139653120968598,1.33093785992244e-09,1.13965311963766e-05,TRUE
"none",4,"robustbase","global_row_order","conf_high",0.0775865115066081,0.0775865096565744,1.85003370956061e-09,1.07758651150661e-05,TRUE
"none",5,"robust","exact_repeat","estimate",-0.0349854611289228,-0.0349854611289228,0,1.03498546112892e-05,TRUE
"none",5,"robust","exact_repeat","std_error",0.0869793010425527,0.0869793010425527,0,1.08697930104255e-05,TRUE
"none",5,"robust","exact_repeat","p_value",0.696902008268181,0.696902008268181,0,1.69690200826818e-05,TRUE
"none",5,"robust","exact_repeat","conf_low",-0.231746309997515,-0.231746309997515,0,1.23174630999752e-05,TRUE
"none",5,"robust","exact_repeat","conf_high",0.161775387739669,0.161775387739669,0,1.16177538773967e-05,TRUE
"none",5,"robust","within_cluster_row_order","estimate",-0.0349854611289228,-0.0349853299852979,1.31143624917951e-07,1.03498546112892e-05,TRUE
"none",5,"robust","within_cluster_row_order","std_error",0.0869793010425527,0.0869793268407487,2.5798195968374e-08,1.08697930104255e-05,TRUE
"none",5,"robust","within_cluster_row_order","p_value",0.696902008268181,0.696903163357234,1.15508905262907e-06,1.69690200826818e-05,TRUE
"none",5,"robust","within_cluster_row_order","conf_low",-0.231746309997515,-0.231746237213464,7.27840511194344e-08,1.23174630999752e-05,TRUE
"none",5,"robust","within_cluster_row_order","conf_high",0.161775387739669,0.161775577242868,1.89503198688712e-07,1.16177538773967e-05,TRUE
"none",5,"robust","cluster_block_order","estimate",-0.0349854611289228,-0.0349854611289228,0,1.03498546112892e-05,TRUE
"none",5,"robust","cluster_block_order","std_error",0.0869793010425527,0.0869793010425527,0,1.08697930104255e-05,TRUE
"none",5,"robust","cluster_block_order","p_value",0.696902008268181,0.696902008268181,0,1.69690200826818e-05,TRUE
"none",5,"robust","cluster_block_order","conf_low",-0.231746309997515,-0.231746309997515,0,1.23174630999752e-05,TRUE
"none",5,"robust","cluster_block_order","conf_high",0.161775387739669,0.161775387739669,0,1.16177538773967e-05,TRUE
"none",5,"robust","global_row_order","estimate",-0.0349854611289228,-0.0349855540064058,9.28774829614398e-08,1.03498546112892e-05,TRUE
"none",5,"robust","global_row_order","std_error",0.0869793010425527,0.0869792862329295,1.48096232083228e-08,1.08697930104255e-05,TRUE
"none",5,"robust","global_row_order","p_value",0.696902008268181,0.696901201582705,8.06685476417712e-07,1.69690200826818e-05,TRUE
"none",5,"robust","global_row_order","conf_low",-0.231746309997515,-0.231746369373303,5.93757877309642e-08,1.23174630999752e-05,TRUE
"none",5,"robust","global_row_order","conf_high",0.161775387739669,0.161775261360491,1.26379178178038e-07,1.16177538773967e-05,TRUE
"none",5,"robustbase","exact_repeat","estimate",-0.0132661399177072,-0.0132661399177072,0,1.01326613991771e-05,TRUE
"none",5,"robustbase","exact_repeat","std_error",0.0836662915571084,0.0836662915571084,0,1.08366629155711e-05,TRUE
"none",5,"robustbase","exact_repeat","p_value",0.877516297909136,0.877516297909136,0,1.87751629790914e-05,TRUE
"none",5,"robustbase","exact_repeat","conf_low",-0.202532440648383,-0.202532440648383,0,1.20253244064838e-05,TRUE
"none",5,"robustbase","exact_repeat","conf_high",0.176000160812968,0.176000160812968,0,1.17600016081297e-05,TRUE
"none",5,"robustbase","within_cluster_row_order","estimate",-0.0132661399177072,-0.0132661417693,1.85159278881519e-09,1.01326613991771e-05,TRUE
"none",5,"robustbase","within_cluster_row_order","std_error",0.0836662915571084,0.083666290525527,1.03158143138771e-09,1.08366629155711e-05,TRUE
"none",5,"robustbase","within_cluster_row_order","p_value",0.877516297909136,0.877516279475865,1.84332711317126e-08,1.87751629790914e-05,TRUE
"none",5,"robustbase","within_cluster_row_order","conf_low",-0.202532440648383,-0.202532440166376,4.82006545787783e-10,1.20253244064838e-05,TRUE
"none",5,"robustbase","within_cluster_row_order","conf_high",0.176000160812968,0.176000156627776,4.18519208178481e-09,1.17600016081297e-05,TRUE
"none",5,"robustbase","cluster_block_order","estimate",-0.0132661399177072,-0.0132661397405425,1.7716470304685e-10,1.01326613991771e-05,TRUE
"none",5,"robustbase","cluster_block_order","std_error",0.0836662915571084,0.0836662916711133,1.1400486110702e-10,1.08366629155711e-05,TRUE
"none",5,"robustbase","cluster_block_order","p_value",0.877516297909136,0.877516299695066,1.78593029254159e-09,1.87751629790914e-05,TRUE
"none",5,"robustbase","cluster_block_order","conf_low",-0.202532440648383,-0.202532440729115,8.073219870397e-11,1.20253244064838e-05,TRUE
"none",5,"robustbase","cluster_block_order","conf_high",0.176000160812968,0.17600016124803,4.35061653369928e-10,1.17600016081297e-05,TRUE
"none",5,"robustbase","global_row_order","estimate",-0.0132661399177072,-0.0132661399188597,1.15242884679567e-12,1.01326613991771e-05,TRUE
"none",5,"robustbase","global_row_order","std_error",0.0836662915571084,0.0836662915553105,1.79792292165359e-12,1.08366629155711e-05,TRUE
"none",5,"robustbase","global_row_order","p_value",0.877516297909136,0.877516297895986,1.31493704813579e-11,1.87751629790914e-05,TRUE
"none",5,"robustbase","global_row_order","conf_low",-0.202532440648383,-0.202532440645468,2.91475177327527e-12,1.20253244064838e-05,TRUE
