"model","condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec","clean_mean_coef","clean_bias","clean_rejection_rate","clean_rmse","clean_coverage","clean_avg_ci_width","clean_failure_rate","rmse_difference","rmse_ratio","ci_width_difference","ci_width_ratio","absolute_bias_difference","rejection_rate_difference","coverage_difference"
"cats_trunc","PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.107876456691614,-0.107876456691614,99.2,0.563418139573089,0.110112394557559,0.8,0.563418139573088,0.090248681150709,250,0,,20,0.0604000000000051,0.000916354257819891,0.000916354257819891,4.8,0.0366339749072019,95.2,0.15131954695173,0,0.0734784196503571,3.00574520882559,-0.0610708658010206,0.596411256633606,0.106960102433794,94.4,-94.4
"cats_robust","PC011","bad_leverage_severity","B02",20,40,0,0,1,1,1,"bad_leverage",0.05,2,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.176875866847396,-0.176875866847396,94,1.50199866844149,0.182092926541068,6,1.50199866844149,0.174947357697491,250,0,,20,0.129239999999991,0.00272509182996003,0.00272509182996003,5.6,0.0408770295999841,94.4,0.163624520410419,0,0.141215896941084,4.45465163009641,0.0113228372870718,1.06920012513204,0.174150775017436,88.4,-88.4
"cats_robust","PC007","vertical_severity","V02",20,40,0,0,1,1,1,"vertical",0.05,6,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00237755251324141,0.00237755251324141,4.8,1.35197633115377,0.0404779131575903,95.2,1.35197633115377,0.164217937555455,250,0,,20,0.128279999999997,0.00272509182996003,0.00272509182996003,5.6,0.0408770295999841,94.4,0.163624520410419,0,-0.000399116442393814,0.990236168178082,0.000593417145036246,1.00362670059199,-0.000347539316718617,-0.800000000000001,0.799999999999997
"cats_robust","PC008","vertical_severity","V03",20,40,0,0,1,1,1,"vertical",0.05,8,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00240056041792075,0.00240056041792075,4.8,1.35197633115377,0.0404051097638837,95.2,1.35197633115377,0.164043080842722,250,0,,20,0.128119999999987,0.00272509182996003,0.00272509182996003,5.6,0.0408770295999841,94.4,0.163624520410419,0,-0.000471919836100385,0.988455133831433,0.000418560432302484,1.0025580544484,-0.000324531412039275,-0.800000000000001,0.799999999999997
"cats_robust","PC009","vertical_severity","V04",20,40,0,0,1,1,1,"vertical",0.05,10,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00240056017831884,0.00240056017831884,4.8,1.35197633115377,0.0404051099735413,95.2,1.35197633115377,0.164043081130743,250,0,,20,0.123919999999993,0.00272509182996003,0.00272509182996003,5.6,0.0408770295999841,94.4,0.163624520410419,0,-0.00047191962644276,0.988455138960416,0.000418560720324229,1.00255805620866,-0.000324531651641184,-0.800000000000001,0.799999999999997
"cats_robust","PC012","bad_leverage_severity","B03",20,40,0,0,1,1,1,"bad_leverage",0.05,3,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.179878671914833,-0.179878671914833,80,2.5298221281347,0.188983967099152,20,2.5298221281347,0.239218945038118,250,0,,20,0.128160000000005,0.00272509182996003,0.00272509182996003,5.6,0.0408770295999841,94.4,0.163624520410419,0,0.148106937499168,4.62323140767609,0.0755944246276991,1.46199936560905,0.177153580084873,74.4,-74.4
"cats_robust","PC010","bad_leverage_severity","B01",20,40,0,0,1,1,1,"bad_leverage",0.05,1,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.103607430246757,-0.103607430246757,83.6,2.34182834554542,0.109246584837144,16.4,2.34182834554542,0.134440002152129,250,0,,20,0.126040000000006,0.00272509182996003,0.00272509182996003,5.6,0.0408770295999841,94.4,0.163624520410419,0,0.0683695552371598,2.672566620085,-0.0291845182582897,0.821637257147729,0.100882338416797,78,-78
"cats_robust","PC013","bad_leverage_severity","B04",20,40,0,0,1,1,1,"bad_leverage",0.05,1,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.0940523113217222,-0.0940523113217222,81.6,2.45066521581386,0.0987879116781802,18.4,2.45066521581386,0.117968346519773,250,0,,20,0.127360000000004,0.00272509182996003,0.00272509182996003,5.6,0.0408770295999841,94.4,0.163624520410419,0,0.0579108820781961,2.41670964463178,-0.0456561738906462,0.720969853563959,0.0913272194917622,76,-76
"cats_robust","PC006","vertical_severity","V01",20,40,0,0,1,1,1,"vertical",0.05,4,0,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,0.00256458732921337,0.00256458732921337,5.6,1.45415267424023,0.0421664146607151,94.4,1.45415267424023,0.169596679577379,250,0,,20,0.133279999999998,0.00272509182996003,0.00272509182996003,5.6,0.0408770295999841,94.4,0.163624520410419,0,0.00128938506073104,1.03154302241011,0.00597215916695967,1.03649916987979,-0.000160504500746657,0,0
"cats_robust","PC014","bad_leverage_severity","B05",20,40,0,0,1,1,1,"bad_leverage",0.05,2,6,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,-0.165810425705283,-0.165810425705283,94,1.50199866844149,0.170690838138278,6,1.50199866844149,0.161718905723859,250,0,,20,0.129520000000004,0.00272509182996003,0.00272509182996003,5.6,0.0408770295999841,94.4,0.163624520410419,0,0.129813808538294,4.17571530535929,-0.0019056146865597,0.988353734013827,0.163085333875323,88.4,-88.4
