"condition_id","calibration_stage","candidate_id","n_clusters","cluster_size","beta","contamination","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","warning_count","warning_rate","error_count","error_rate","failure_count","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"PC011","bad_leverage_severity","B02",20,40,0,"bad_leverage",0.05,2,4,250,20260802,"ri",0,0,0,0,0,0,0,20,0.309200000000013
"PC011","bad_leverage_severity","B02",20,40,0,"bad_leverage",0.05,2,4,250,20260802,"cr2",0,0,0,0,0,0,,20,0.0853199999999961
"PC011","bad_leverage_severity","B02",20,40,0,"bad_leverage",0.05,2,4,250,20260802,"cats",0,0,0,0,0,0,,20,0.0567600000000039
"PC011","bad_leverage_severity","B02",20,40,0,"bad_leverage",0.05,2,4,250,20260802,"cats_trunc",0,0,0,0,0,0,,20,0.0625200000000023
"PC011","bad_leverage_severity","B02",20,40,0,"bad_leverage",0.05,2,4,250,20260802,"cats_robust",11,4.4,0,0,0,0,,20,0.129239999999991
"PC011","bad_leverage_severity","B02",20,40,0,"bad_leverage",0.05,2,4,250,20260802,"cats_robustbase",0,0,0,0,0,0,,20,0.232719999999996
"PC012","bad_leverage_severity","B03",20,40,0,"bad_leverage",0.05,3,4,250,20260802,"ri",0,0,0,0,0,0,0,20,0.308760000000015
"PC012","bad_leverage_severity","B03",20,40,0,"bad_leverage",0.05,3,4,250,20260802,"cr2",0,0,0,0,0,0,,20,0.0887599999999911
"PC012","bad_leverage_severity","B03",20,40,0,"bad_leverage",0.05,3,4,250,20260802,"cats",0,0,0,0,0,0,,20,0.0591600000000108
"PC012","bad_leverage_severity","B03",20,40,0,"bad_leverage",0.05,3,4,250,20260802,"cats_trunc",0,0,0,0,0,0,,20,0.0605999999999913
"PC012","bad_leverage_severity","B03",20,40,0,"bad_leverage",0.05,3,4,250,20260802,"cats_robust",10,4,0,0,0,0,,20,0.128160000000005
"PC012","bad_leverage_severity","B03",20,40,0,"bad_leverage",0.05,3,4,250,20260802,"cats_robustbase",4,1.6,0,0,0,0,,20,0.231479999999981
"PC013","bad_leverage_severity","B04",20,40,0,"bad_leverage",0.05,1,6,250,20260802,"ri",0,0,0,0,0,0,0,20,0.310279999999995
"PC013","bad_leverage_severity","B04",20,40,0,"bad_leverage",0.05,1,6,250,20260802,"cr2",0,0,0,0,0,0,,20,0.0889599999999991
"PC013","bad_leverage_severity","B04",20,40,0,"bad_leverage",0.05,1,6,250,20260802,"cats",0,0,0,0,0,0,,20,0.0573199999999997
"PC013","bad_leverage_severity","B04",20,40,0,"bad_leverage",0.05,1,6,250,20260802,"cats_trunc",0,0,0,0,0,0,,20,0.0604000000000051
"PC013","bad_leverage_severity","B04",20,40,0,"bad_leverage",0.05,1,6,250,20260802,"cats_robust",5,2,0,0,0,0,,20,0.127360000000004
"PC013","bad_leverage_severity","B04",20,40,0,"bad_leverage",0.05,1,6,250,20260802,"cats_robustbase",2,0.8,0,0,0,0,,20,0.226440000000004
"PC014","bad_leverage_severity","B05",20,40,0,"bad_leverage",0.05,2,6,250,20260802,"ri",0,0,0,0,0,0,0,20,0.309519999999988
"PC014","bad_leverage_severity","B05",20,40,0,"bad_leverage",0.05,2,6,250,20260802,"cr2",0,0,0,0,0,0,,20,0.0924400000000078
"PC014","bad_leverage_severity","B05",20,40,0,"bad_leverage",0.05,2,6,250,20260802,"cats",0,0,0,0,0,0,,20,0.0616800000000112
"PC014","bad_leverage_severity","B05",20,40,0,"bad_leverage",0.05,2,6,250,20260802,"cats_trunc",0,0,0,0,0,0,,20,0.0635999999999822
"PC014","bad_leverage_severity","B05",20,40,0,"bad_leverage",0.05,2,6,250,20260802,"cats_robust",1,0.4,0,0,0,0,,20,0.129520000000004
"PC014","bad_leverage_severity","B05",20,40,0,"bad_leverage",0.05,2,6,250,20260802,"cats_robustbase",0,0,0,0,0,0,,20,0.232839999999996
"PC015","bad_leverage_severity","B06",20,40,0,"bad_leverage",0.05,3,6,250,20260802,"ri",0,0,0,0,0,0,0,20,0.306439999999981
"PC015","bad_leverage_severity","B06",20,40,0,"bad_leverage",0.05,3,6,250,20260802,"cr2",0,0,0,0,0,0,,20,0.0880800000000218
"PC015","bad_leverage_severity","B06",20,40,0,"bad_leverage",0.05,3,6,250,20260802,"cats",0,0,0,0,0,0,,20,0.059559999999994
"PC015","bad_leverage_severity","B06",20,40,0,"bad_leverage",0.05,3,6,250,20260802,"cats_trunc",0,0,0,0,0,0,,20,0.0627599999999911
"PC015","bad_leverage_severity","B06",20,40,0,"bad_leverage",0.05,3,6,250,20260802,"cats_robust",11,4.4,0,0,0,0,,20,0.127559999999992
"PC015","bad_leverage_severity","B06",20,40,0,"bad_leverage",0.05,3,6,250,20260802,"cats_robustbase",2,0.8,0,0,0,0,,20,0.23336000000001
