"condition_id","replicate","replicate_seed","n_clusters","random_slope_sd","contamination","contamination_label","rsen_estimate","rsen_std_error","rsen_df","rsen_boundary_fit","rsen_estimated_random_slope_sd","rsen_total_elapsed_sec","rsen_usable","rsea_estimate","rsea_std_error","rsea_df","rsea_boundary_fit","rsea_estimated_random_slope_sd","rsea_total_elapsed_sec","rsea_usable","lmer_estimate","lmer_std_error","lmer_df","lmer_boundary_fit","lmer_estimated_random_slope_sd","lmer_total_elapsed_sec","lmer_usable","rsea_minus_rsen_slope_sd","rsea_minus_rsen_estimate","rsea_to_rsen_se_ratio","lmer_minus_rsea_slope_sd","rsea_to_rsen_runtime_ratio","boundary_transition"
"RMM015",1,561050143,10,0.1,"none","Clean",-0.113116724975574,0.0550338625425921,152.524910875782,TRUE,0,28.5700000000002,TRUE,-0.112843273924236,0.0561237784439768,174.019531280987,TRUE,0,17.89,TRUE,-0.105298839590267,0.064191109602411,8.61427067508771,FALSE,0.100032627867581,0.410000000000025,TRUE,0,0.000273451051337345,1.01980445949148,0.100032627867581,0.626181309065451,"RSEn_boundary__RSEa_boundary"
"RMM015",2,275491558,10,0.1,"none","Clean",0.0174950318620462,0.071136138535917,4.1083017251726,FALSE,0.154426648702022,33.9099999999999,TRUE,0.0196478257386983,0.0621468795217906,4.35041562351373,FALSE,0.114070847245111,28.78,TRUE,0.00023209205615607,0.0727264284120895,8.9319307294442,FALSE,0.171236625339832,0.379999999999995,TRUE,-0.0403558014569104,0.00215279387665207,0.873633019740204,0.0571657780947206,0.848717192568567,"RSEn_positive__RSEa_positive"
"RMM015",3,658591458,10,0.1,"none","Clean",-0.0736589036297913,0.0575362731419733,455.900779602861,TRUE,0,37.3800000000001,TRUE,-0.073746599526472,0.0564569770620811,578.202359224735,TRUE,0,17.78,TRUE,-0.0718849231910241,0.0663274993338244,8.76755117831926,FALSE,0.116655723437508,0.359999999999957,TRUE,0,-8.76958966807284e-05,0.9812414669746,0.116655723437508,0.475655430711608,"RSEn_boundary__RSEa_boundary"
"RMM015",4,835799753,10,0.1,"none","Clean",0.0496883640351258,0.0492118991103759,287.016768652436,TRUE,0,142.46,TRUE,0.0493035051027388,0.0497185308175913,436.658528119974,TRUE,0,20.17,TRUE,0.0179652655234478,0.0638278912289445,8.84341374638268,FALSE,0.127448006892114,0.360000000000014,TRUE,0,-0.000384858932386982,1.01029490258198,0.127448006892114,0.141583602414713,"RSEn_boundary__RSEa_boundary"
"RMM015",5,731039463,10,0.1,"none","Clean",-0.0274123206530216,0.0682869307087988,1.70199941543921,FALSE,0.126709945676455,36.9399999999996,TRUE,-0.0309454127677943,0.0771553682262406,5.79643747443592,FALSE,0.167878053129761,18.91,TRUE,-0.0323584447555801,0.0745125384866706,8.85024103501326,FALSE,0.16409593949653,0.410000000000025,TRUE,0.041168107453306,-0.0035330921147727,1.12987020247344,-0.00378211363323111,0.511911207363297,"RSEn_positive__RSEa_positive"
"RMM017",1,561050143,10,0.1,"vertical","Vertical outliers",-0.111186203756665,0.0750746353592034,3.28145550974227,FALSE,0.134893620867484,37.3600000000001,TRUE,-0.113813953089858,0.0673399777543803,169.776729255577,TRUE,0,21.1999999999999,TRUE,-0.15072851406115,0.10416614486797,8.62758683721797,FALSE,0.165002659647437,0.379999999999939,TRUE,-0.134893620867484,-0.00262774933319285,0.896973757277466,0.165002659647437,0.567451820128476,"RSEn_positive__RSEa_boundary"
"RMM017",2,275491558,10,0.1,"vertical","Vertical outliers",-0.0342863653482116,0.0726990518499344,2.1486231466251,FALSE,0.141670749641035,46.4200000000001,TRUE,-0.0351151764067297,0.0602394859055677,298.595293521136,TRUE,0,19.13,TRUE,-0.162756744690719,0.0897089148469797,8.71249019147564,FALSE,0.0993771892036033,0.410000000000025,TRUE,-0.141670749641035,-0.000828811058518113,0.828614464324984,0.0993771892036033,0.412106850495475,"RSEn_positive__RSEa_boundary"
"RMM017",3,658591458,10,0.1,"vertical","Vertical outliers",-0.111073688492138,0.0766290067831472,2.54359826987232,FALSE,0.132750582981354,44.3500000000004,TRUE,-0.107442561970324,0.0670474330563959,615.680698209625,TRUE,0,22.61,TRUE,-0.21577665070744,0.11892191690624,8.83122422466919,FALSE,0.243420465552477,0.379999999999995,TRUE,-0.132750582981354,0.00363112652181409,0.874961530509377,0.243420465552477,0.509808342728294,"RSEn_positive__RSEa_boundary"
"RMM017",4,835799753,10,0.1,"vertical","Vertical outliers",0.0792150037494187,0.0548000466005052,376.367558731012,TRUE,0,19.3299999999999,TRUE,0.0786885321408431,0.0599845301173779,330.110988614126,TRUE,0,13.17,TRUE,0.15094288653147,0.0886175124096357,8.50069816274573,FALSE,0.0441886088712952,0.420000000000016,TRUE,0,-0.000526471608575663,1.09460728299499,0.0441886088712952,0.68132436627005,"RSEn_boundary__RSEa_boundary"
"RMM017",5,731039463,10,0.1,"vertical","Vertical outliers",-0.0209585557675378,0.0611326408553926,237.243314287528,TRUE,0,44.25,TRUE,-0.0246017102100653,0.0774899955237289,1.65113897014016,FALSE,0.128890261330639,30.97,TRUE,-0.0211229368491038,0.112245856412568,8.78231646844819,FALSE,0.21460582390073,0.389999999999986,TRUE,0.128890261330639,-0.0036431544425275,1.26757153689842,0.0857155625700904,0.699887005649718,"RSEn_boundary__RSEa_positive"
"RMM019",1,493606906,20,0.05,"none","Clean",-0.0376557348791713,0.0391319503009891,480.83327340418,TRUE,0,45.6999999999998,TRUE,-0.0376983547827915,0.039088513489284,688.468728911812,TRUE,0,35.24,TRUE,-0.0362206644413338,0.041705026621079,18.4579801036036,FALSE,0.0742484150558914,0.529999999999973,TRUE,0,-4.26199036202071e-05,0.998889991135864,0.0742484150558914,0.771115973741798,"RSEn_boundary__RSEa_boundary"
"RMM019",2,386603050,20,0.05,"none","Clean",-0.0136849308306198,0.0363528253627284,516.896311176227,TRUE,0,45.6799999999998,TRUE,-0.0138069908004488,0.0358973309165588,732.246873748595,TRUE,0,34.1799999999999,TRUE,-0.0151134887974912,0.0390899077452702,18.4118776938299,FALSE,0.0763829800201331,0.490000000000009,TRUE,0,-0.00012205996982893,0.987470177582492,0.0763829800201331,0.748248686514888,"RSEn_boundary__RSEa_boundary"
"RMM019",3,60044151,20,0.05,"none","Clean",0.0204360462192819,0.0478347846643118,13.5323529721565,FALSE,0.126846245952123,81.7399999999998,TRUE,0.0220977959441391,0.0370411696477757,949.306408004404,TRUE,0,45.1700000000001,TRUE,0.0332909351196149,0.0457636641427915,18.578656832111,FALSE,0.125748067899489,0.480000000000018,TRUE,-0.126846245952123,0.0016617497248572,0.774356358196613,0.125748067899489,0.552605823342307,"RSEn_positive__RSEa_boundary"
"RMM019",4,1335545557,20,0.05,"none","Clean",-0.0105672345354074,0.0377162015999591,907.654874525403,TRUE,0,48.6200000000003,TRUE,-0.0103554897223094,0.0368318729387898,1182.68825126191,TRUE,0,32.64,TRUE,-0.0107179046643986,0.0356763858588991,18.4461119165528,TRUE,0,0.470000000000027,TRUE,0,0.000211744813098009,0.97655308266328,0,0.671328671328666,"RSEn_boundary__RSEa_boundary"
"RMM019",5,516863982,20,0.05,"none","Clean",0.0100689774106369,0.0403345800428558,735.143871853181,TRUE,0,46.0599999999999,TRUE,0.0102356561790428,0.0395211618407834,982.748450735671,TRUE,0,31.04,TRUE,0.00342955610030023,0.0387005979270338,17.8166216555139,TRUE,0,0.529999999999973,TRUE,0,0.000166678768405827,0.979833229918145,0,0.673903603994789,"RSEn_boundary__RSEa_boundary"
"RMM021",1,493606906,20,0.05,"vertical","Vertical outliers",-0.0306412082952861,0.0433947243380888,439.874144827668,TRUE,0,46.8599999999997,TRUE,-0.0303500539232754,0.0467985395641732,625.197327737347,TRUE,0,35.22,TRUE,0.0108886275397801,0.0724851494971254,18.5519329673226,FALSE,0.155002388939476,0.459999999999923,TRUE,0,0.000291154372010698,1.07843845716279,0.155002388939476,0.751600512163898,"RSEn_boundary__RSEa_boundary"
"RMM021",2,386603050,20,0.05,"vertical","Vertical outliers",-0.0259205099949482,0.0402465069427265,634.728206718692,TRUE,0,53.5299999999997,TRUE,-0.0259310685744935,0.0427970243734629,771.891118832976,TRUE,0,36.61,TRUE,-0.0263117405367417,0.0567225809208522,18.0555688271839,TRUE,0,0.480000000000018,TRUE,0,-1.05585795453014e-05,1.06337239240081,0,0.683915561367461,"RSEn_boundary__RSEa_boundary"
"RMM021",3,60044151,20,0.05,"vertical","Vertical outliers",0.0481802332443823,0.0422324307195216,605.050877797414,TRUE,0,62.6100000000001,TRUE,0.0493168866946444,0.0441135044560128,962.860706188532,TRUE,0,34.4399999999999,TRUE,0.122178603439814,0.0642949370003054,18.1995364467321,FALSE,0.100194885538207,0.540000000000077,TRUE,0,0.00113665345026208,1.04454097726422,0.100194885538207,0.550071873502633,"RSEn_boundary__RSEa_boundary"
"RMM021",4,1335545557,20,0.05,"vertical","Vertical outliers",-0.00891576495703344,0.0411894588428085,838.032485507653,TRUE,0,48.8799999999997,TRUE,-0.00956006372088213,0.0432003010255194,1080.74277645303,TRUE,0,33.5500000000001,TRUE,-0.039024662939102,0.0618933153906494,18.4460667060259,TRUE,0,0.529999999999973,TRUE,0,-0.000644298763848682,1.04881933968554,0,0.686374795417355,"RSEn_boundary__RSEa_boundary"
"RMM021",5,516863982,20,0.05,"vertical","Vertical outliers",-0.0019277621809761,0.0446426789909,699.231263778086,TRUE,0,46.54,TRUE,-0.0024150703996666,0.0468994362772435,942.571667623512,TRUE,0,31.9200000000001,TRUE,-0.0117459056453446,0.0628154499249534,17.8176069442505,TRUE,0,0.490000000000009,TRUE,0,-0.000487308218690497,1.05055156494536,0,0.685861624409113,"RSEn_boundary__RSEa_boundary"
"RMM023",1,493606906,20,0.1,"none","Clean",-0.0538944668081936,0.0392775854402712,487.749665824123,TRUE,0,47.4400000000001,TRUE,-0.0539262614073743,0.0392112203232798,689.661926969521,TRUE,0,35.0700000000001,TRUE,-0.0526309498299737,0.0458183593024388,18.6253081276761,FALSE,0.112209341418867,0.480000000000018,TRUE,0,-3.17945991807692e-05,0.998310356498562,0.112209341418867,0.73924957841484,"RSEn_boundary__RSEa_boundary"
