"condition_id","n_clusters","cluster_size","beta","contamination","contamination_prop","contamination_size","leverage_size","reps","condition_seed","model","warning_count","warning_rate","error_count","error_rate","failure_count","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"004",10,40,0.2,"none",0.05,10,10,5,20260732,"cats_robustbase",0,0,0,0,0,0,,10,0.132000000000001
"005",10,40,0.2,"vertical",0.05,10,10,5,20260733,"ri",0,0,0,0,0,0,0,10,0.680000000000001
"005",10,40,0.2,"vertical",0.05,10,10,5,20260733,"cr2",0,0,0,0,0,0,,10,0.0600000000000009
"005",10,40,0.2,"vertical",0.05,10,10,5,20260733,"cats",0,0,0,0,0,0,,10,0.0379999999999981
"005",10,40,0.2,"vertical",0.05,10,10,5,20260733,"cats_trunc",0,0,0,0,0,0,,10,0.0360000000000014
"005",10,40,0.2,"vertical",0.05,10,10,5,20260733,"cats_robust",0,0,0,0,0,0,,10,0.0599999999999994
"005",10,40,0.2,"vertical",0.05,10,10,5,20260733,"cats_robustbase",0,0,0,0,0,0,,10,0.124000000000001
"006",10,40,0.2,"bad_leverage",0.05,10,10,5,20260734,"ri",0,0,0,0,0,0,0,10,0.666000000000001
"006",10,40,0.2,"bad_leverage",0.05,10,10,5,20260734,"cr2",0,0,0,0,0,0,,10,0.0699999999999989
"006",10,40,0.2,"bad_leverage",0.05,10,10,5,20260734,"cats",0,0,0,0,0,0,,10,0.0219999999999999
"006",10,40,0.2,"bad_leverage",0.05,10,10,5,20260734,"cats_trunc",0,0,0,0,0,0,,10,0.0319999999999979
"006",10,40,0.2,"bad_leverage",0.05,10,10,5,20260734,"cats_robust",0,0,0,0,0,0,,10,0.0720000000000013
"006",10,40,0.2,"bad_leverage",0.05,10,10,5,20260734,"cats_robustbase",0,0,0,0,0,0,,10,0.117999999999999
"007",20,40,0,"none",0.05,10,10,5,20260735,"ri",0,0,0,0,0,0,0,20,0.722000000000003
"007",20,40,0,"none",0.05,10,10,5,20260735,"cr2",0,0,0,0,0,0,,20,0.101999999999998
"007",20,40,0,"none",0.05,10,10,5,20260735,"cats",0,0,0,0,0,0,,20,0.146000000000001
"007",20,40,0,"none",0.05,10,10,5,20260735,"cats_trunc",0,0,0,0,0,0,,20,0.0639999999999986
"007",20,40,0,"none",0.05,10,10,5,20260735,"cats_robust",0,0,0,0,0,0,,20,0.131999999999999
