"condition_id","n_clusters","cluster_size","beta","effect_label","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_label","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","common_random_number_group","model","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec","method_label","method_order","bias_cats","rmse_cats","rejection_rate_cats","coverage_cats","avg_ci_width_cats","failure_rate_cats","rmse_ratio_vs_cats","ci_width_ratio_vs_cats","coverage_difference_vs_cats","rejection_difference_vs_cats","absolute_bias_difference_vs_cats"
"S1C011",20,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robust",0.100536061157183,0.000536061157183174,66.35,1.05656933042749,0.0403529975370126,94.35,0.516273909857936,0.164763889661047,2000,0,,20,0.186409999999986,"Robust CATs: lmRob",5,-0.000594652050459911,0.0617635970614355,33.05,95.4,0.253415265064078,0,0.653345974925553,0.650173499293283,-1.05,33.3,-5.85908932767369e-05
"S1C011",20,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robustbase",0.10027334479513,0.000273344795129555,67.7,1.04563616999413,0.039487672806756,94.85,0.494205169944629,0.161085659913918,2000,0,,20,0.375074999999994,"Robust CATs: lmrob",6,-0.000594652050459911,0.0617635970614355,33.05,95.4,0.253415265064078,0,0.639335703966175,0.635658865590381,-0.549999999999997,34.65,-0.000321307255330356
"S1C012",20,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robust",0.0155073746171118,-0.0844926253828883,7.2,0.57799653978203,0.0902939125748298,28.8,1.01256110926699,0.130900290610693,2000,0,,20,0.186445000000018,"Robust CATs: lmRob",5,-0.0901106098521268,0.0941274518771162,7.15,12.3,0.113345238431415,0,0.959272887708773,1.15488124973066,16.5,0.0499999999999998,-0.0056179844692386
"S1C012",20,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260816,"G20","cats_robustbase",0.00975054747264815,-0.0902494525273519,5.8,0.522666241496426,0.094646431227266,16,0.819756061276768,0.118532160338581,2000,0,,20,0.372810000000021,"Robust CATs: lmrob",6,-0.0901106098521268,0.0941274518771162,7.15,12.3,0.113345238431415,0,1.00551358121143,1.04576215092004,3.7,-1.35,0.000138842675225015
"S1C013",40,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robust",0.000612744764241951,0.000612744764241951,5.45,0.507591124823908,0.0284344513064327,94.55,0.507591124823908,0.113556454437809,2000,0,,40,0.373695000000007,"Robust CATs: lmRob",5,0.000639907555983447,0.0261338242926386,5.7,94.3,0.104841345053184,0,1.08803254311472,1.08312664607845,0.25,-0.25,-2.71627917414956e-05
"S1C013",40,40,0,"Null",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robustbase",0.000792027511488324,0.000792027511488324,5.35,0.503178646208283,0.02718024801509,94.65,0.503178646208282,0.108288742956934,2000,0,,40,0.755449999999997,"Robust CATs: lmrob",6,0.000639907555983447,0.0261338242926386,5.7,94.3,0.104841345053184,0,1.04004097183534,1.03288204574255,0.350000000000009,-0.350000000000001,0.000152119955504877
"S1C014",40,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robust",0.000367256499557847,0.000367256499557847,5.6,0.514120608417908,0.0284813929286264,94.4,0.514120608417908,0.113993268677443,2000,0,,40,0.371034999999994,"Robust CATs: lmRob",5,-0.00020349561422753,0.0440431285625761,5.6,94.4,0.174911711585204,0,0.646670521785488,0.651718902321268,0,0,0.000163760885330317
"S1C014",40,40,0,"Null",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robustbase",0.000561078714758,0.000561078714758,5.45,0.507591124823908,0.0278200426592069,94.55,0.507591124823908,0.11169633779507,2000,0,,40,0.738699999999975,"Robust CATs: lmrob",6,-0.00020349561422753,0.0440431285625761,5.6,94.4,0.174911711585204,0,0.631654552416284,0.638586957858794,0.150000000000006,-0.15,0.00035758310053047
"S1C015",40,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robust",-0.0407409916236682,-0.0407409916236682,45.7,1.11389182598671,0.0460651997593025,54.3,1.11389182598671,0.0867848486476526,2000,0,,40,0.370215000000037,"Robust CATs: lmRob",5,-0.0429169113401676,0.0469686761617016,58,42,0.0776409361900273,0,0.980764277892597,1.11777179547714,12.3,-12.3,-0.00217591971649947
"S1C015",40,40,0,"Null",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robustbase",-0.0431241836253441,-0.0431241836253441,55.25,1.11185374487834,0.0474462074080543,44.75,1.11185374487834,0.0804593134384926,2000,0,,40,0.735979999999965,"Robust CATs: lmrob",6,-0.0429169113401676,0.0469686761617016,58,42,0.0776409361900273,0,1.0101670152403,1.03630014508799,2.75,-2.74999999999999,0.00020727228517646
"S1C016",40,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robust",0.100612743650329,0.000612743650329289,92.9,0.57427780733718,0.0284344526120428,94.55,0.507591124823908,0.113556458359622,2000,0,,40,0.37255999999995,"Robust CATs: lmRob",5,0.000639907555983447,0.0261338242926386,96.35,94.3,0.104841345053184,0,1.08803259307335,1.08312668348557,0.25,-3.45,-2.71639056541581e-05
"S1C016",40,40,0.1,"Alternative",0,1,1,1,"none","Clean",0.05,0,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robustbase",0.100778401983828,0.000778401983827645,95.45,0.465992220965114,0.0271663798726327,94.65,0.503178646208282,0.108284137629506,2000,0,,40,0.741070000000022,"Robust CATs: lmrob",6,0.000639907555983447,0.0261338242926386,96.35,94.3,0.104841345053184,0,1.0395103130882,1.03283811910821,0.350000000000009,-0.900000000000006,0.000138494427844198
"S1C017",40,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robust",0.100367262821012,0.000367262821011832,92.7,0.581682903307291,0.0284813902129194,94.4,0.514120608417908,0.113993261814987,2000,0,,40,0.369850000000028,"Robust CATs: lmRob",5,-0.00020349561422753,0.0440431285625761,60.55,94.4,0.174911711585204,0,0.646670460125313,0.651718863087437,0,32.15,0.000163767206784302
"S1C017",40,40,0.1,"Alternative",0,1,1,1,"vertical","Vertical outliers",0.05,6,0,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robustbase",0.100555151945721,0.000555151945721022,94.25,0.520546587732549,0.0278166536980846,94.55,0.507591124823908,0.111697959692746,2000,0,,40,0.740654999999941,"Robust CATs: lmrob",6,-0.00020349561422753,0.0440431285625761,60.55,94.4,0.174911711585204,0,0.631577605995063,0.63859623052362,0.150000000000006,33.7,0.000351656331493492
"S1C018",40,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robust",0.0168337333677999,-0.0831662666322001,10.4,0.682583328246449,0.0861375053020779,6.25,0.541265877365274,0.0905580078898102,2000,0,,40,0.369555000000073,"Robust CATs: lmRob",5,-0.0893407940992972,0.0913844324436733,8.25,0.5,0.0780840335965878,0,0.942584015665584,1.15975063939022,5.75,2.15,-0.00617452746709712
"S1C018",40,40,0.1,"Alternative",0,1,1,1,"bad_leverage","Bad leverage",0.05,0.375,4,2000,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260817,"G40","cats_robustbase",0.0110669688754079,-0.0889330311245921,7.3,0.581682903307292,0.0911843044507824,1.15,0.23840878758972,0.0818603933221808,2000,0,,40,0.736845000000052,"Robust CATs: lmrob",6,-0.0893407940992972,0.0913844324436733,8.25,0.5,0.0780840335965878,0,0.997810042831811,1.04836276446864,0.65,-0.95,-0.000407762974705086
