"source","message","count"
"overall_warning_field","Cluster 1: M-step did NOT converge. Returning unconverged SM-estimate",5
"overall_warning_field","Cluster 10: M-step did NOT converge. Returning unconverged SM-estimate",5
"overall_warning_field","Cluster 11: Max iteration for final coefficients reached.",5
"overall_warning_field","Cluster 12: Max iteration for final coefficients reached.",5
"overall_warning_field","Cluster 2: M-step did NOT converge. Returning unconverged SM-estimate",5
"overall_warning_field","Cluster 33: Max iteration for final coefficients reached.",5
"overall_warning_field","Cluster 35: Max iteration for final coefficients reached.",5
"overall_warning_field","Cluster 6: M-step did NOT converge. Returning unconverged SM-estimate",5
"overall_warning_field","Cluster 8: M-step did NOT converge. Returning unconverged SM-estimate",5
"overall_warning_field","Cluster 9: M-step did NOT converge. Returning unconverged SM-estimate",5
"overall_warning_field","Cluster 14: M-step did NOT converge. Returning unconverged SM-estimate",4
"overall_warning_field","Cluster 17: Max iteration for final coefficients reached.",4
"overall_warning_field","Cluster 24: Max iteration for final coefficients reached.",4
"overall_warning_field","Cluster 29: Max iteration for final coefficients reached.",4
"overall_warning_field","Cluster 34: Max iteration for final coefficients reached.",4
"overall_warning_field","Cluster 37: M-step did NOT converge. Returning unconverged SM-estimate",4
"overall_warning_field","Cluster 7: M-step did NOT converge. Returning unconverged SM-estimate",4
"overall_warning_field","Cluster 8: Max iteration for final coefficients reached.",4
"overall_warning_field","Cluster 1: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 9: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",3
"overall_warning_field","Cluster 11: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 12: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 15: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 31: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",3
"overall_warning_field","Cluster 16: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 20: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 22: Max iteration for final coefficients reached.",3
"overall_warning_field","Cluster 26: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 27: Max iteration for final coefficients reached.",3
"overall_warning_field","Cluster 29: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 3: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 33: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 40: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 5: M-step did NOT converge. Returning unconverged SM-estimate",3
"overall_warning_field","Cluster 1: Max iteration for refinement reached. | Cluster 24: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 1: Max iteration for refinement reached. | Cluster 4: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 1: Max iteration for refinement reached. | Cluster 5: Max iteration for final coefficients reached.",2
"overall_warning_field","Cluster 1: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 18: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 10: Max iteration for refinement reached. | Cluster 31: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 10: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 28: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 11: Max iteration for refinement reached. | Cluster 17: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 11: Max iteration for refinement reached. | Cluster 18: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 11: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 20: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 11: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 33: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 11: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 36: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 11: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 39: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 12: Max iteration for refinement reached. | Cluster 18: Max iteration for refinement reached.",2
"overall_warning_field","Cluster 12: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 21: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 12: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 36: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 13: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 25: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 14: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 16: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 14: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 36: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 15: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 27: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 16: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged | Cluster 19: S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",2
"overall_warning_field","Cluster 17: M-step did NOT converge. Returning unconverged SM-estimate",2
"overall_warning_field","Cluster 17: Max iteration for refinement reached. | Cluster 33: Max iteration for refinement reached.",2
