"condition_id","n_clusters","beta","contamination","contamination_label","replicate","replicate_seed","method","cluster","intercept","x","retained","warning","error"
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","2",0.488530190286577,0.0345680082247154,TRUE,,
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","3",1.04343501789176,0.0188264391207637,TRUE,,
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","4",0.178038927335432,0.0193737223169254,TRUE,,
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","5",0.423645891628082,0.0364344658626951,TRUE,,
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","6",-1.01096337726866,-0.314249469713963,TRUE,,
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","7",1.06826171316644,-0.00952733159656918,TRUE,,
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","8",0.813156233964059,-0.12821154873235,TRUE,,
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","9",0.634391342408917,-0.158344248919858,TRUE,,
"S1C001",10,0,"none","Clean",261,1213588741,"cats_robust","10",0.0966662787928522,-0.19214361781457,TRUE,,
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","1",-0.499576766910656,-0.0234738646166823,TRUE,,
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","2",0.817751368756268,-0.0372702436903598,TRUE,,
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","3",-1.25662387869056,0.216412340968786,TRUE,,
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","4",0.830766419737753,0.160911894337408,TRUE,,
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","5",-3.40930366876153,0.0685043712487104,TRUE,,
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","6",0.874216692340963,-0.142024721314191,TRUE,,
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","7",0.845592340115217,0.0808932384319412,TRUE,,
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","8",0.686813352299661,-0.105706448561761,TRUE,,
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","9",-0.466488496929641,0.172793497171414,TRUE,"Max iteration for refinement reached.",
"S1C001",10,0,"none","Clean",295,1073370386,"cats_robust","10",-0.146471540548369,-0.0984334077612799,TRUE,,
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","1",1.81860830022271,0.285198330831223,TRUE,,
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","2",-0.0988841495627142,0.148370174298971,TRUE,,
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","3",-0.265498210251332,0.0852309941944185,TRUE,,
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","4",-0.848909740536489,-0.218611130419114,TRUE,,
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","5",-0.0630163138015845,0.170287520624738,TRUE,,
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","6",-0.681568392326349,0.0595054191084415,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","7",-1.69389338610067,-0.0298185531563043,TRUE,,
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","8",0.83093872442439,-0.0297858059632954,TRUE,,
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","9",0.345338809857291,-0.0593634066112234,TRUE,,
"S1C001",10,0,"none","Clean",301,1469964046,"cats_robustbase","10",0.761531934410535,-0.21843782626921,TRUE,,
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","1",-0.0415831233488764,0.300605384896071,TRUE,,
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","2",0.187840608548727,-0.0892811974148879,TRUE,,
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","3",0.19845489027017,-0.24290139023762,TRUE,,
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","4",0.458299842756728,-0.373485396272108,TRUE,,
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","5",0.206430112616627,0.0478371609403974,TRUE,,
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","6",-0.305319955949258,-0.0795348373543577,TRUE,,
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","7",-0.460629465169432,0.00806450779841474,TRUE,,
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","8",0.726559473510511,0.0101845913841178,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","9",-0.421505596249096,0.17117281124201,TRUE,,
"S1C001",10,0,"none","Clean",311,1470103495,"cats_robustbase","10",-0.546776490701709,0.0126833843972957,TRUE,,
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","1",-1.28608352791414,-0.207993870716053,TRUE,,
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","2",-1.73230797315794,0.0930521393559389,TRUE,,
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","3",0.363635818603807,0.00437147618828516,TRUE,,
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","4",0.785747029940318,0.1660018916756,TRUE,,
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","5",-1.13396175128089,0.0172248106673662,TRUE,"Max iteration for refinement reached.",
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","6",2.11514216314671,-0.26089093182243,TRUE,,
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","7",-0.65095098787609,-0.032711130405607,TRUE,,
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","8",-0.659968797519591,0.116788238451148,TRUE,,
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","9",2.02103441657585,-0.030851143314402,TRUE,,
"S1C001",10,0,"none","Clean",338,477166650,"cats_robust","10",0.201610627147953,0.0239252834978545,TRUE,,
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","1",-0.719258377224188,0.00260075898011329,TRUE,,
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","2",0.872721838938991,0.155037937479186,TRUE,,
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","3",-1.21318048341077,-0.132907137691652,TRUE,,
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","4",-0.66870373120978,0.0035563330043651,TRUE,"S refinements did not converge (to refine.tol=1e-07) in 200 (= k.max) steps | initial estim. 'init' not converged -- will be return()ed basically unchanged",
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","5",-0.17388579238478,-0.0415878247828153,TRUE,,
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","6",1.80311058898387,0.0878791536560674,TRUE,,
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","7",0.460509865611721,-0.00982732158093121,TRUE,,
"S1C001",10,0,"none","Clean",347,1552369732,"cats_robustbase","8",0.415800423009307,0.0927138582104089,TRUE,,
